מפתח,בעברית,דומה באנגלית(אם יש),טקסטים להקלטה
8-00100,,,השיעור הזה כולל גם משפטי יום-יום ומעט סלנג
8-00300,הוא מחכה לך,,TE ESPERA
,,,או מנומס..
,,,ESPERO PARA VOCÊ
8-00400,הם מחכים לי,,ME ESPERAM
8-00500,למה אתם מחכים?,,POR QUE ESPERAM ?
8-00600,"חברה, למה את מחכה לי ?",,POR QUE ME ESPERAS ?
8-00700,אנחנו מחכים,,ESPERAMOS
8-00800,למה אתה לא מחכה לי (אדוני ),,PORQUE NÃO ME ESPERAS ?
8-01000,למה אתם לא מחכים לי,,POR QUE NÃO ME ESPERAM ?
8-01001,,,בציווי הופכים את היוצרות..
8-01100,חכה לי כאן !,,ME ESPERA AQUI !
8-01101,,,ונמשיך בדוגמאות..
8-01200,אנחנו הולכים לחכות לך(מנומס),,NÓS VAMOS ESPERAR PARA VOCÊ
8-01301,,,ולנושא שמעניין תיירים – שכר-מכר...
8-01500,אנחנו קונים את זה,,LO COMPRAMOS
8-01600,לא נקקונים את זה !,,NÃO COMPRAMOS !
8-01800,אנחנו מוכרים את זה,,LO VENDEMOS
8-02100,אני מחכה לו,,LO ESPERO
8-02101,,,ובציווי ..
8-02300,אל תחכה לי !,,NÃO ESPERE PARA MIM !
8-02400,עזבתי,,HE SALIDO
8-02403,,,ודוגמאות..
8-02800,לא הבנתי את מה שאתה אומר לי,,NÃO TENHO ENTENDIDO LO QUE ME DIZ
8-02900,לא הבנתי את מה שאתה מתכוון להגיד לי,,NÃO TENHO ENTENDIDO LO QUE QUERE DIZER-ME
8-03000,קנינו,,TEMOS COMPRADO
8-03100,עזבתי,,TEM SAIDO
8-03200,"אתה, חבר, מכרת",,TENS VENDIDO
8-03300,הכנתם את זה,,LO TÊM PREPARADO
8-03301,,,ועכשיו מיוחדים, יוצאים מן הכלל..
8-03400,עשיתי את זה,,LO TENHO FEITO
8-03500,אמרתי לך,,TE TENHO DITO EU
8-03600,"עשוי , זה מיוצר",,ESTÁ FEITO
8-03601,מיוצר באמריקה,,"כמו, למשל - ESTÁ FEITO NA AMĖRICA"
8-03701,,,נחזור לרגילים..
8-03800,הכנתי את זה,,LO TENHO PREPARADO
8-03900,"ארוחת הערב הוכנה (מוכנה) ,",,O JANTAR TEM PREPARADO
8-04000,קיבלתי את התנאי,,TENHO ACEITADO A CONDIÇÃO
8-04001,,,ושוב ליוצאים מהכלל..
8-04100,עשיתי לך,,TE TENHO FEITO
8-04200,לא אמרת לי,,NÃO ME TEM DITO
8-04300,למה לא אמרת לי ?,,PORQUE NÃO ME TEM DITO ?
8-04301,,,יוצא מן הכלל נוסף הוא התצורה שך הפועל VER - VISTO
8-04302,,,ובמשפט..
8-04400,ראיתי אותו,,L'E VISTO
8-04500,לא ראיתי אותו עדיין,,AINDA EU NÃO TINHA VISTO ISSO
8-04501,,,יוצא מן הכלל נוסף בקבוצת ה GO-GO יהיה PONER – הופך בעבר ל POSTO
8-04700,שמנו אותו כאן ?,,LO TEMOS POSTO AQUI ?
8-04701,,,"ועכשיו לנושא שמעסיק את הגיל השלישי, במיוחד..."
8-04800,לשכוח,,OLVIDAR
8-04801,,,וגם...
8-04802,,,ESQUESER
8-04900,לא אשכח את זה – עתיד פשוט,,NÃO LO OLVIDAREI
8-04901,ברור,,CLARO
8-04902,,,וגם...
8-04903,בטוח,,CERTO
8-05100,אני בטוח/ה (SEGURO) שלא נשכח את זה,,TENHO CERTEZA QUE NÃO ESQUECEREMOS
8-05101,,,ובעבר הקרוב...
8-05301,,,שתי הטיות חשובות – SAIR = לעזוב ו DEIXAR = להשאיר
8-05302,הטיות הווה לפועל SAIR ,לעזוב,,"SAIO, SAIS, SAI, SAIMOS,…,SAEM"
8-05400,הטיות הווה לפועל DEIXAR ,להשאיר,,"DEIXO, DEIXAS, DEIXA, DEIXAMOS, ,.., DEIXAM "
8-05500,,,מילה חדשה
8-05501,הודעה,,MENSAGEM
8-05600,השארתי הודעה עבורך,,TE TENHO DEIXADO UMA MENSAGEM
8-05700,,,"לבלות זמן,לבזבז זמן,להעביר זמן זה..."
8-05701,"לבלות זמן, לבזבז זמן, להעביר זמן",,PASSAR
8-05702,,,ובעבר הקרוב..
8-05800,בילינו הרבה זמן,,TEMOS PASSADO MUITO TEMPO
8-05900,לא בזבזנו הרבה זמן,,NÃO TEMOS PASSADO MUITO TEMPO
8-05901,"כמה זמן עבר, כמה זמן בוזבז ?",,QUANTO TEMPO TEM PASADO ?
8-05902,,,ובלי שום קשר...
8-06100,זה רעיון טוב,,ESSA É UMA BOA IDEIA
,,,וגם...
8-06101,זה רעיון לא רע,,NÃO É UMA MÁ IDEIA
8-06102,,,ומילה שנתקלנו בה כבר..
8-06300,להעדיף,,PREFERIR
8-06400,הטיות הווה לפועל PREFERIR ,להעדיף,,"PREFERO , PREFERES, PREFERE, PREFERIMOS,…, PREFEREM"
8-06401,,,ודוגמה..
8-06500,אני מעדיף להישאר כאן,,PREFIRO FICAR AQUI
8-06501,,,וקצת סלנג ומילים שימושיות....
8-06600,"בסדר , O.K",,DE ACUERDO
8-06601,,,וגם...
8-06602,OK,,OK
8-06700,הבט !,,OLHAR !
8-06800,שמע ! היי !,,OIA !
8-06801,,,גם היי !
8-06900,"החשבון, בבקשה",,A CONTA POR FAVOR
