מפתח,בעברית,דומה באנגלית(אם יש),טקסטים להקלטה
7-00100,,,נמשיך עם העתיד הפשוט
7-00200,אני אתחיל,,COMEÇAREI
7-00201,,,בעתיד קרוב זה יהיה..
7-00300,אני הולך להתחיל,,VOU COMEÇAR
7-00400,אני הולך לקנות את זה,,VOU COMPRAR-LO
7-00500,אנחנו הולכים לקנות את זה,,VAMOS COMPRAR-LO
7-00800,אנחנו נקרא לך,,TE CHAMAREI MAIS TARDE
7-00801,,,ואשאל אותך...
7-00900,באיזה שעה אתה הולך לקרא לי,,A QUE HORAS VAIS CHAMAR-ME
7-00901,,,או אותם (או אתכם בנימוס)...
7-01000,באיזה שעה אתם הולכים לקרא לי,,A QUE HORAS VÃO CHAMAR-ME
7-01001,,,והתשובה לא אחרה לבוא..
7-01300,הם הולכים לקרוא לי מאוחר יותר,,VÃO CHAMAR-ME MAIS TARDE
7-01301,,,ובעתיד אמיתי..
7-01400,אנחנו נקרא לך,,TE CHAMAREMOS
7-01401,,,או בעתיד קרוב...
7-01402,אנחנו הולכים לקרא לך,,VAMOS CHAMAR-TE
7-01403,,,ועכשיו חזרה קצרה...
7-01500,להשאיר,,DEIXAR
7-01501,,,ובהתפעל.,
7-01600,להישאר,,FICAR
7-01601,,,הטיות FICAR בהווה..
7-01700,הטיות הווה לפועל,FICAR,"FICO, FICAS, FICA, FICAMOS,..,FICAM"
7-01701,,,ובבודדת..
7-01800,אנחנו נשארים,,NÓS FICAMOS
7-01900,הם נשארים,,ELES FICAM
7-02000,היא נשארת,,ELE FICA
7-02100,אני לא נשאר,,EU NÃO FICO
7-02101,,,ובעתיד קרוב..
7-02200,אני הולך להישאר,,EU VOU FICAR
7-02300,כמה זמן אתה הולך להישאר,,CUANTO TEMPO VAIS FICAR ?
7-02400,כמה זמן הוא הולך להישאר (מנומס),,CUANTO TEMPO VOCÊ VAI FICAR ?
7-02500,כמה זמן הם הולכים להישאר ?,,CUANTO TEMPO VÃO FICAR ?
7-02501,,,ומשפט מתוחכם...
7-02600,עדיין אינני יודע כמה זמן נישאר,,AINDA NO SÉ CUANTO TEMPO VAMOS FICAR
7-02700,אני אשאר,,FICAREI
7-02800,אנחנו נישאר,,FICAREMOS
7-02801,,,ואיך נגיד את זה בעתיד קרוב ?
7-02900,,,VAMOS FICAR
7-02902,,,החזרה לעתיד
7-03000,אני אקנה את זה,,LO COMPRAREI
7-03100,אנחנו נקנה את זה,,LO COMPRAREMOS
7-03200,הוא יקנה את זה,,LO COMPRARÁS
7-03300,אתה אדוני תקנה את זה,,LO COMPRARÁ SEÑOR
7-03400,איפה תקנו את זה?,,DONDE LO COMPRARÁN ?
7-03500,"איפה תקנה את זה, (חבר)",,DONDE LO COMPRARÁS
7-03501,,,ובמשפט שלם..
7-03600,הם לא הולכים לקנות את זה כי זה יקר מדי,,NÃO LOS COMPRARÂO PORQUE SÃO MUITO CAROS
7-03601,,,ואיך נגיד בעתיד הקרוב ?
7-03700,הם לא יקנו אותם כי הם יקרים מדי,,NÃO VÃO COMPRAR-LOS PORQUE SÃO MUITO CAROS
7-03701,,,"ושוב, חזרה לעתיד הפשוט..."
7-03800,אני אהיה כאן,,ESTAREI AQUÍ
7-03900,אנחנו נהיה כאן מחר,,ESTAREMOS AQUI AMANHÃ
7-04101,אתה תהיה כאן,,ESTARÁS AQUÍ
7-04100,זה יהיה מוכן עבורך מחר,,ESTARÁ PRONTO PARA VOCÊ AMANHÃ
7-04200,הם יהיו כאן בהקדם,,ESTARÁO AQUÍ EM BREVE
7-04201,,,"ושוב, בעתיד קרוב.."
7-04300,הם הולכים להיות כאן בהקדם,,VÃO ESTAR AQUI EM BREVE
7-04301,,,גם לפועל SER יש גם עתיד...
7-04400,זה יהיה אפשרי מחר,,SERÁ POSSÍVEL AMANHÃ
7-04401,,,זוכרים את השיר QUÉ SERÁ SERÁ – מה שיהיה יהיה..
7-04500,זה לא יהיה אפשרי,,NÃO SERÁ POSSÍVEL
7-04501,,,ומה העתיד של IR ? - הפתעה !! חוזרים לשם הפועל !!
7-04600,אני אלך לראות אותו,,IRÉ A VERLO
7-04700,אנחנו נלך לראות אותו,,IREMOS A VERLO
7-04800,,,ובעתיד הקרוב..
7-04801,אנחנו הולכים ללכת לראות אותו,,VAMOS A IR A VERLO
7-04900,יילך לראות אותו,,IRÁ A VERLO
7-05000,הם ילכו לראות אותו בהקדם,,IRÁO A VERLO PRONTO
7-05100,"ואתה, רוברטו , תלך לראות אותו מחר",,Y TU ROBERTO IRÁS A VERLO MAŇANA
7-05101,,,העתיד ל-4 פעלי ה GO-GO הבאים – D במקום E או I :
7-05101,,,ההטיות של TENER
7-05300,הטיות עתידה הפועל,TENER = TO HAVE,"TENDRĖ , TENDRÁS, TENDRÁ , TENDREMOS , TENDRÁN"
7-05301,,,ההטיות של SALIR
7-05900,הטיות עתידה הפועל,SALIR = לצאת,"SALDRÉ , SALDRÁS , SALDRÁ , SALDREMOS , SALDRÁN"
7-05901,,,ההטיות של PONER
7-06500,הטיות עתידה הפועל,PONER = לשים,"PONDRÉ , PONDRÁS , PONDRÁ , PONDREMOS , PONDRÁN"
7-06501,,,ההטיות של VENIR
7-07100,הטיות עתידה הפועל,VENIR = לבוא,"VENDRÉ , VENDRÁS , VENDRÁ , VENDREMOS , VENDRÁN"
7-07101,,,שני הפעלים החשובים FAZER ו DIZER שונים – מקצרים אותם :,
7-07102,,,ההטיות של FAZER
7-07600,הטיות עתידה הפועל,FAZER,"FAREI , FARÁS , FARÁ , FAREMOS , FARÁO"
7-07601,,,ההטיות של DIZER
7-08200,הטיות עתידה הפועל,DIZER,"DIREI , DIRÁS , DIRÁ , DIREMOS,…, DIRÁO"
7-08201,,,כמה שימושים..
7-08700,אגיד לך יותר מאוחר,,ÁTE DIRĖI MAIS TARDE
7-08900,אנחנו נגיד לך (מנומס),,TE DIREMOS
7-09000,הוא יגיד לך,,TE DIRÁ
7-09100,הוא יגיד לי,,ME DIRÁ
7-09200,מתי תגיד לי (מנומס),,QUANDO ME DIRÁ
7-09300,מתי תגידי לי (חבר),,QUANDO ME DIRÁS
7-09400,מתי תגידו לי,,QUANDO ME DIRÁO
7-09401,,,"ועכשיו, לטעם אישי.."
7-09402,מוצא חן בעיני,,GOSTO DISSO
7-09403,,,ומשפטים עם זה...
7-09500,אני אוהב מאד לראות אותו,,GOSTO MUITO VE-LO
7-09501,,,"או בשילוב עם ""התפעל"".."
7-09600,אני לא אוהב להישאר כאן,,NÃO ME GOSTO FICAR AQUI
7-09601,,,"זה ""תופס"" גם בגופים אחרים.."
7-09700,"מוצא חן בעיניך, או אתה אוהב",,VOCÊ GOSTA DISSO ?
7-09800,זה מוצה חן בעיניך ?,,VOCÊ GOSTA ?
7-09802,,,ומכאן קפיצה למשלוחים..
7-09900,לשלוח,,ENVIAR
7-10000,אתה שולח את זה,,LO ENVIA
7-10100,אתה שולח את זה אלי,,ME LO ENVIA
7-10101,,,נרכיב משפט ארוך...
7-10200,הוא לא שולח את זה אלי היום,,NÃO ME LO ENVIA HOJE
7-10300,אבל הוא ישלח את זה אלי מחר,,MAS ME LO ENVIARA AMANHÃ
7-10301,,,"ויחד, למשפט הארוך.."
7-10302,אבל הוא הולך לשלוח את זה אלי מחר,,..ELE NÃO ME ENVIA HOJE MAS ELE ME ENVIARÁ AMANHÃ
7-10303,,,את המשפט השני אפשר להגיד גם בעתיד קרוב..
7-10400,אבל הוא שולח את זה אלי מחר,,MAS VAI A ENVIARMELO AMANHÃ
7-10401,,,"או בהווה, כי יש רמז לעתיד.."
7-10500,אבל אתה שולח את זה אלי מחר,,MAS ME LO ENVIAS AMANHÃ
7-10700,אני שולח לך משהו,,TE ENVIO ALGO
7-10800,אני שולח אותם אליך,,ENVIO PARA VOCE
7-10801,,,אבל בעתיד קרוב יהיה..
7-11200,אני הולך לשלוח את זה אליך,,VOU ENVIÁ-LO PARA VOCE
7-11201,,,"מה שרואים כאן זה שיש שני מושאים שמודבקים לפועל בסופו כאשר, כמובן, הפועל הוא השני בתור כי הראשון = VOU – דוגמא נוספת.."
7-11300,אני הולך לשלוח את זה אליו,,VOU ENVIÁ-LO A ELE
7-11301,,,אם לא נגיד A ELE זה יכול להיות דיבור מנומס למישהו שנמצא בחדר – לכן יש צורך להבהיר שזה לו...
7-11302,,,למשל..
7-11400,אני הולך לשלוח את זה אליך אדוני,,"VOU ENVIÁ-LO A USTED, SENHOR"
7-11401,,,ובמשפטי שאלה..
7-11500,תוכל לשלוח את זה אלי ?,,PODE ENVIAR-ME ISTO ?
7-11501,,,או..
7-11600,תוכל לשלוח את זה אליו ?,,PODE ENVIÁ-LO A ELE ?
7-11601,,,חזרה קצרה....
7-11700,אוהב לראות את זה,,ME GOSTO VE-LO
7-11701,,,"ועכשיו סטייה קטנה - לא למדנו את הזמן הזה של הפועל QUERER (SIMPLE PLUPERFECT INDICATIVE) אבל משתמשים בו הרבה להבעת רצונות, כמו.."
7-11702,הייתי רוצה..,,QUISERA
7-11703,,,נגיד...
7-11800,הייתי רוצה לראות אותו,,QUISERA VE-LO
7-11802,,,ושוב ניזכר משפט עם העתיד של הפועל SER
7-11900,זה לא יהיה הכרחי,,NÃO SERÁ NECESSÁRIO
7-11901,,,ולא פחות חשוב - איך נפליג אל העבר?
7-11902,,,"מה שנלמד זו הטיית , ה PRESENT PERFECT = העבר הקרוב – זה קל ושימושי אבל , שוב, צריך לשנן את הטיית הפועל TER בהווה .."
7-11903,הטיות הווה לפועל HABER,,"TENHO, TENS, TEM, TEMOS,…,TÊM"
7-11904,,,"אבל, להבדיל מההטייה בעתיד, שם נדרשנו לזכור רק סיומות, כאן צריך לזכור את ההטייה במלואה.."
7-11905,,,"תצורת הפועל העיקרי, שמצטרפת להטיית TER נקרא לה ADO/IDO כי אלה הסיומות – פעלי AR מקבלים ADO ופעלי לא-AR מקבלים IDO - (ישנם מעט יוצאים מן הכלל)) למשל.."
7-11906,"מהפעלים – לקנות, לעזוב, לדבר, לאכול, למכור, לקחת, לחיות",,"קבלו במה פעלים כאלה – COMPRADO, SAÍDO, FALADO, COMIDO, VENDIDO, TOMADO, VIVIDO"
7-11907,,,והתצורה המלאה – כמה דוגמאות ...
7-12000,קניתי,,,TENHO COMPRADO,
7-12001,דיברת,,,TENS FALADO,
7-12002,הבאת,,,TENHO SAÍDO,
7-12003,לקחו,,,TEM TOMADO,
7-12004,אכלנו,,,TEMOS COMIDO,
7-12005,,,דוגמאות נוספות..
7-12200,קניתי משהו,,TENHO COMPRADO ALGO
7-12300,אנחנו קנינו משהו,,TEMOS COMPRADO ALGO
7-12400,קנינו את זה,,TEMOS COMPRADO ISSO
7-12500,הוא קנה את זה,,TEM COMPRADO ISSO
7-12600,הוא לא קנה את זה,,NÃO LO TEM COMPRADO
7-12700,איפה קנית את זה ?,,ONDE LO TEM COMPRADO ?
7-12800,הוא מכר את זה,,LO TEM VENDIDO
7-12801,,,יוצאים מן הכלל הם שני הפעלים הקצרים – FAZER ו DECIR
7-12802,,,במקום FAZEDO מקבלים FEITO ובמקום DIZEDO מקבלים DITO
7-12803,,,דוגמאות...
7-12900,עשיתי את זה,,LO TENHO FEITO
7-13000,עשינו את זה,,LO TEMOS FEITO
7-13100,,,"על מוצרים ממקסיקו למשל, נראה על התווית FEITO EN MÉXICO =MADE IN MEXICO "
7-13200,אמרת לי,,ME TENS DITO
7-13300,לא אמרת לי,,NÃO ME TENS DITO
7-13400,אני אמרתי לך,,EU TE TENHO DITO
7-13401,,,ועוד פעלים רגילים..
7-13500,"לחכות , לקוות",,ESPERAR
7-13600,אני מחכה,,ESPERO
7-13700,הוא מחכה,,ESPERA
7-13800,ליידע,,INFORMAR
7-13801,,,ומשפט בנושא..
7-13900,אני רוצה לגלות איפה זה,,QUERO ENFORMAR-ME ONDE ESTÁ
7-14000,חכה !,,ESPERE !
7-14100,למה אתה מחכה ?,,PORQUÉ ESPERAS ?
7-14200,למי אתה מחכה ?,,POR QUEM ESPERAS ?
7-14201,,,ומשפט תלונה נפוץ..
7-14300,למה אתה לא מחכה ?,,PORQUÉ NÃO ME ESPERAS ?
