מפתח,בעברית,דומה באנגלית(אם יש),טקסטים להקלטה
3-00100,,,בשיעור הזה נתמקד יותר במפשטי שאלה ומשפטים מורכבים מכמה משפטים פשוטים
3-00200,יקר,,CARO
3-00201,,,קארו זה גם סימן היהלום בקלפים - לא להתבלבל עם   CARRO = אוטו
3-00300,יקר מאד,,MUITO CARO
3-00402,,,מילה שנשתמש בה הרבה היא..
3-00500,יש לי,,TENHO
3-00600,,,ובגוף שני..
3-00700,יש לך,,TEM
3-00701,,,ובשאלה...
3-00702,יש לך את זה ?,,LO TEM ?
3-00800,,,ובמשפט ארוך יותר..
3-00801,למה אין לך את זה עבורי ?,,POR QUE VOCÊ NÃO TEM ISSO PARA MIM ?
3-01000,,,האחראי לכל הטוב הזה הוא הפועל   ..
3-01001,TO HAVE (אין מקבילה בעברית),,TER
3-01002,,,משפט מלא שיש בו פעמיים המושא LO בשני אופנים שונים – זה תלוי במיקום של הפועל הצמוד   – ראשון או שני
3-01003,אני רוצה שיהיה לי את זה כי אני צריך את זה,,QUERO TER-LO PORQUE PRECISO DELE
3-01004,,,"במופע הראשון הפועל   TER   הוא פועל שני ובא בשם הפועל ולכן ה-LO   בא אחריו וצמוד לו, ובמופע השני יש רק פועל אחד שבא בהטייה (גוף ראשון הווה) ולכן ה-    LO   בא לפניו"
3-01100,,,שימוש נפוץ אחר של הפועל TENER הוא בצמד..
3-01101,להיות מוכרח,,TER QUE
3-01102,,,מבוטא ללא הפסקה –כמו שם חיבה – אשרקה
3-01200,אני צריך,,TENHO QUE
3-01201,,,כמו באנגלית – I HAVE TO
3-01400,אני חייב לעשות את זה,,TENHO QUE FAZERLO
3-01401,,,בזמן שזה משהו שאני חייב לעשות ואעשה..
3-01404,,,ועכשיו לבילויים..
3-01500,לרקוד,,BAILAR
3-01501,,,או..
3-01502,ה,,DANÇAR
3-01503,,,בלרינה=רקדנית – בפורטוגזית...
3-01600,רקדנית,,DANÇARINA
3-01700,,,בשיר הפורטוריקני   DESPACITO=לאט יש שורה כזאת
3-01701,אני צריך לרקוד אתך היום -  בשיר DESPACITO,,TENHO QUE DANÇAR CON VOCÊ HOJE
3-01702,,,איזה יופי !! – אנחנו מבינים את כל המשפט..
3-01703,אתך,,CON VOCÊ
3-01800,איתי,,CONMIGO
3-01801,,,CON ELE
3-01802,,,ועכשיו לפרידות...
3-01900,"לעזוב, לצאת",,SAIR
3-01901,,,"ומכאן, שלט שתראו בכל אולם או שדה תעופה של מדינה דוברת פורטוגזית - יציאה"
3-02000,יציאה,,SAIDA
3-02001,,,ולפני הפרידה...
3-02100,אני חייב לעזוב,,EU TENHO QUE SAIR
3-02200,,,"ראינו ש ל""עכשיו"" יש לנו את :"
3-02201,עכשיו,,AGORA
3-02300,,,"אבל אם זה ממש, ממש, דחוף.."
3-02301,"בהקדם,מיד",,LOGO
3-02400,,,"ומכאן, אם רוצים לבטא דחיפות.."
3-02401,אני צריך לעזוב מיד,,EU TENHO QUE SAIR LOGO
3-02402,,,"גם ""אני מוכרח"" וגם ""בהקדם"" – זה כנראה ממש דחוף..."
3-02500,,,"הביטוי TENHO QUE נכון בכל הגופים, כמובן – למשל :"
3-02501,אתה חייב,,TEM QUE
3-02600,אתה צריך לעשות את זה,,VOCÊ TEM QUE FAZER
3-02700,מתי,,QUANDO
3-02800,,,ובשילוב של שני הנ""ל
3-02801,מתי אתה צריך לעשות את זה ?,,QUANDO VOCÊ TEM QUE FAZER ISSO ?
3-03500,,,או שאלה רחבה יותר..
3-03501,אתה יכול להגיד לי למה אתה לא יכול לעשות את זה כך,,VOCÊ PODE ME  DIZER POR QUE NÃO PODE FAZER ASSIM ?
3-03600 .,,,". קבוצה מס' 7 - מילים באנגלית שמסתיימות ב   ICAL  כמו  POLITICAL    דומות בפורטוגזית רק עם סיומת שונה –O  או A לפי המין , כי המילים האלה הם תמיד מתארים שם עצם :"
3-03602,פוליטי/ת,POLITICAL,POLÍTICO
3-03603,,,או במין נקבה
3-03604,, ,POL Í TICA
3-03605,,,הערה  –  הדגש ב   Í  הכרחי אחרת נקרא את זה .....   POLITICO     כי באופן טבעי ההדגשה צריכה לבוא בהברה הלפני אחרונה
3-03701,כלכלי,ECONOMICAL,ECONÓMICO
3-03702,,,או במין נקבה
3-03703,כלכלית,,ECONÓMICA
3-03704,,,שימו לב - זו לא ההאקונומיקה לניקוי הבית ...
3-03705,,,"דוגמא לנ""ל – תיאור של שם עצם נקבי – כפי שנאמר, כל המילים הדומות לאנגלית, הם ממין נקבה"
3-03706,מצב כלכלי,A POLITICAL SITUATION,A SITUAÇÃO POLÍTICA
