מפתח,בעברית,דומה באנגלית(אם יש),טקסטים להקלטה
2-00100,,,טיפלנו ב-2 קבוצות של מילים דומות בון שתי השפות – מילים באנגלית שנגמרות ב IBLE או ABLE  ו ENTE או ANTE כאן נתעסק ב קבוצה שלישית..
2-00101,,,"קבוצה מס' 3 -  כמעט כל המילים ;שבאנגלית מסתיימים ב  ARY  כמו ,  CONTRARY  , NECESSARY   VOCABULARY  הופכים בפורטוגזית ל  ARIO  :"
2-00200,הכרחי,NECESSARY,NECESSÁRIO
,,,"ייקרא ""נֶסֶסָרִיוּ"""
2-00400,,,וו החיבור הוא E – שימו לב – אין דגש
2-00401,,,"למשל, משפט מורכב שלושה משפטים בו משתמשים ב-וו החיבור ופעם בפסיק..."
2-00402,"אני מצטער, אבל אין לי את זה ואני לא רוצה את זה בגלל שאני לא צריך את זה עכשיו",,,"DESCULPE, MAS NÃO TENHO E NÃO QUERO, PORQUE NÃO O PRECISO AGORA"
2-00501,ההפך,CONTRARY,CONTRÁRIO
2-00502,,,ומכאן הביטוי...
2-00600,להפך,IN CONTRARY,AO CONTRÁRIO
2-00701,מילון,VOCABULARY,VOCABULÁRIO
2-00702,,,פועל קצר וחשוב..
2-00800,לראות,,VER
2-00900,,,"ועכשיו משהו סופר-שימושי !! :  כשהפועל שני והלאה וקשור אליו המושא   O A OS AS ME TE  הוא יבוא אחריו, צמוד לו – למשל.."
2-00901,לראות אותו,,VÊ-O
2-01000,,,"אבל    אם הפועל הוא יחיד ו/או ראשון,  יש הטייה של הפועל (כאן גוף ראשון הווה   ) והמושא יבוא לפניו.."
2-01001,אני רואה אותו,,O VEJO
2-01002,,,אבל, כשיש פועל אחר לפניו..
2-01100,אני רוצה לראות אותו,,QUERO VÊ-O
2-01101,,,"גם כאן , הפועל VER מופיע ללא הטייה, כי הוא הפועל השני – הראשון הוא QUERO  לכן ה-LO מאחוריו וצמוד לו – גם בעברית – ""אני רוצה לראות אותו"" – גם אחריו אבל לא צמוד..."
2-01200,,,כנ""ל בשלילה..
2-01201,לא רוצה לראות אותו,,NÃO QUERO VÊ-O
2-01500,למה אתה לא רוצה לראות אותו ?,,POR QUE VOCÊ NÃO QUER VÊ-O ?
2-01504,,,"מכאן, כלל נוסף, חשוב ביותר – המושא שנצמד לפועל השני שבא בשם הפועל !!"
2-01600,אני לא יכול לראות אותו,,NÃO POSSO VER-LO
2-01700,אתה לא יכול לראות אותו,,NÃO PODE VER-LO
2-01801,,,ועכשיו שוב למשמעות של המושאים (O A OS AS TE ME ) - בפעם הראשונה שרואים את הספר נגיד..
2-01900,אתה יכול לראות  את הספר ?,,VOCÊ PODE VER O LIVRO ?
2-01901,,,אבל אחרי שכולם יודעים על מה מדובר...
2-01902,אתה יכול לראות אותו ?,,PODE VER-LO ?
2-02000,למה אתה לא יכול לראות אותו ?,,POR QUE VOCÊ NÃO PODE VER-LO ?
2-02100,מה אתה יכול לראות ?,,QUE VOCÊ PODE VER  ?
2-02200,אתה רוצה לראות אותו  ?,,VOCÊ QUER VER-LO ?
2-02300,רוצה לעשות את זה,,QUERO FAZER-LO
2-02301,אתה יכול להגיד לי,,PODE ME  DIZER
2-02302,אני רוצה לראות אותך,,QUERO VER-TE
2-02303,,,ואם רוצים להגיד...
2-02400,אני רוצה לעשות את זה !,,EU QUERO FAZER ISSO
2-02401,,,ובשלילה – זיכרו  - ה - NO הוא תמיד בראש המשפט...
2-02500,אני לא רוצה לעשות את זה כך,,NÃO QUERO FAZER ASSIM
2-02501,,,ובשאלה ?
2-02600,בגלל שאני לא יכול לעשות אותו,,POR QUE NÃO POSSO FAZER ISSO
2-02601,,,ובגוף שני...
2-02700,למה אינך יכול לעשות את זה ?,,POR QUE VOCÊ NÃO PODE FAZER ISSO ?
2-02701,,,ומשפט יותר מפורט..
2-02800,אני רוצה לדעת למה אינך יכול לעשות את זה כך,,QUIERO SABER PORQUÉ NO PUEDES HACERLO ASÍ
2-02900,,,קבוצה מס' 4 - מילים באנגלית שנגמרים ב   ENCE   או   ANCE   זהים גם בפורטוגזית ונגמרים ב   ENÇA       ANÇA או ÊNCIA  ÂNCIA
2-02901,,,דוגמאות..
2-02903,הבדל,DIFFERENCE,DIFERENÇA
2-02904,,,"שימו לב - עם F אחת    (חסכנות..."")"
2-02905,ההבדל,,A DIFERENÇA
2-02906,הבדל אחד,,UMA DIFERENÇA
2-03000,איזה הבדיש CIA,,QUE DIFERENÇA
2-03101,חשיבות,MPORTANCE,IMPORTÂNCIA
,,INFLUENCE,INFLUÊNCIA
2-03301,נוכחות,PRESENCE,PRESENÇA
2-03401,העדפה – יוצא מן הכלל – במקום ÇA  יש CIA,PREFERENCE,PREFERÊNCIA
2-03402,,,ובשילוב במשפטי שאלה..
2-03500,יש לך העדפה ?,,TEM PREFERÊNCIA ?
2-03600,איזה העדפה יש לך ?,,QUE PREFERÊNCIA VOCÊ TEM ?
2-03700,איזה מסעדה אתה מעדיף (יש לך העדפה) ?,,PARA QUE RESTAURANTE VOCÊ TEM PREFERÊNCIA ?
2-03800,,,"כש   ESTA   זה ""הזה""    ו NOCHE הוא נקבי"
2-03801,הלילה הזה,,ESTA NOITE
2-03802,,,או..
2-03900,זה ללילה (ערב) הזה,,É PARA ESTA NOITE
2-03901,,,ובמשפט ארוך..
2-04000,(ל)איזה מסעדה אתה מעדיף הלילה ?,,QUE RESTAURANTE VOCÊ TEM PREFERÊNCIA PARA ESTA NOITE  ?
2-04001,,,בתרגום מילולי –    עבור איזה מסעדה יש לך העדפה הלילה ?
2-04100,(ל)איזה מסעדה אתה מעדיף ל הלילה ?,,PARA QUE RESTAURANTE VOCÊ TEM PREFERÊNCIA POR ESTA NOITE ?
2-04101,,,"זה בדיוק המשפט הקודם, רק במקום פסיק יש את מילת הקישור PARA , כאן במובן ""עבור"""
2-04200,,,"ועכשיו למילת שאלה מאד חשובה, במיוחד עבור תייר.."
2-04201,איפה,,ONDE
2-04300,איפה אתה רוצה לאכול ?,,ONDE VOCÊ QUER COMER ?
2-04400,ארוחת ערב,,JANTA
2-04402,,,וכמו באנגלית DINNER=ארוחת ערב ו TO DINE=לאכול ארוחת ערב...
2-04500,לאכול ארוחת ערב,,JANTAR
2-04501,,,ובמשפט..
2-04600,איפה תרצה לאכול ארוחת ערב הלילה ?,,ONDE VOCÊ QUER JANTAR ESTA NOITE ?
2-04700,יש לך העדפה ?,,TEM PREFERÊNCIA ?
2-04701,,,ונדנוד נוסף...
2-04800,מה ההעדפה שלך ?,,QUÉ PREFERÊNCIA TEM ?
2-04801,,,ובשאלה מלאה...
2-04900 ,לאיזה מסעדה תעדיף הלילה ?,,QUAL RESTAURANTE VOCÊ TEM PREFERÊNCIA PARA ESTA NOITE  ?
2-05000,,,"והנה הגענו לקבוצות ה""דמיון"" החמישית והשישית :"
2-05001,,,קבוצה מס' 5 - כל המילים האנגליות המסתיימות ב ION באנגלית מקבלות בפורטוגזית את הסיומת  ÃO,
2-05003,דעה,OPINION,OPINIÃO
2-05100,,,"קבוצה מס' 6   - כל מילה המסתיימת באנגלית ב - TION     (קבוצה הגדולה ביותר יש כ 1,200 כאלה)  תתקבל בפורטוגזית, אץת אותה סיומת   ÃO כמו למשל  ..    "
2-05102,טלויזיה,TELEVISION,TELEVISÃO
2-05201,מצב,CONDITION,CONDIÇÃO
2-05301,עמדה,POSITION,POSIÇÃO
2-05401,הזמנה (מראש),RESERVATION,RESERVAÇÃO
2-05501,אישור,CONFIRMATION,CONFIRMAÇÃO
2-05502,,,ונשלב את זה במשפט..
2-05600,יש לך אישור בשבילי ללילה ?,,VOCÊ TEM RESERVAÇÃO PARA  MIM PARA ESTA NOITE ?
2-05702,תנאי,,CONDIÇÃO
2-05703,התנאי,,A CONDIÇÃO
2-05704,תנאי אחד,,UMA CONDIÇÃO
2-05705,איזה תנאי,,QUE CONDIÇÃO
2-05800,,,ושוב..
2-05801,אישור,CONFIRMATION,CONFERMAÇÃO
2-05901,"הזמנה, הזמנה אחת, ואיזה הזמנה",RESERVATION,RESERVAÇÃO
2-05903,ההזמנה,,A RESERVAÇÃO
2-05904,הזמנה אחת,,UMA RESERVAÇÃO
2-05905,ו איזה הזמנה,,QUE RESERVAÇÃO
2-05906,,,מילת חיבור קטנה אבל מאד חשובה .
2-06000,של,,DE
2-06001,,,ומשפט ארוך שמילת החיבור הזו משתלב בה...
2-06100,יש לכם את האישור  להזמנה עבורי לערב  הזה ?,,"TEM A CONFIRMAÇÃO DA RESERVAÇÃO PARA MIM PARA ESTA NOITE ?"
,,,"במקרה הזה, היות ושם העצם הוא נקבי, DE LA   הופך לקיצור DA"
2-06201,"סוג, מין, טיפוס",TYPE,TIPO
2-06202,,,ומשולב במשפטים..
2-06300,איזה סוג של הזמנה יש לכם עבורי ללילה הזה ?,,QUE TIPO DE RESERVA VOCÊ TEM PARA MIM PARA ESTA NOITE   ?
2-06301,,,"שוב פעמים המילה   PARA    , פעם ""בשביל"" ופעם ""עבור ""  ובנוסף השתמשנו במילה היותר קצרה ושימושית RESERVA"
2-06400,איזה סוג של הזמנה אתה רוצה ?,,QUE TIPO DE RESERVA VOCÊ QUER ?
2-06401,,,"כאמור, קרוב ל   1,200   מילים באנגלית ובפורטוגזים יש להם את הסיומת   TION ,  יהיו   CIÓN    , והרוב המוחלט מיתרגם כנ""ל לפורטוגזית :"
2-06500,,,2    יוצאים מן הכלל  –  ( TWO EXCEPTIONS  )  -    DUAS EXEPÇÕES
2-06501,,,יוצא מן הכלל ראשון – תרגום – באנגלית   TRANSLATION   ובפורטוגזית לא   TRANSLACIÓN    אלא :
2-06502,תרגום,,TRADUÇÃO
2-06504,,,וכמה משפטים עם זה...
2-06600,אני צריך תרגום,,PRECISO DE UMA TRADUÇÃO
2-06700,עשה בבקשה תרגום בשבילי,,PODE FAZER UMA TRADUÇÃO PARA MIM
