מפתח,בעברית,דומה באנגלית(אם יש),טקסטים להקלטה
4-00100,,,בשיעור הזה נתעסק בעיקר בפעלים...
4-00101,,,ונתחיל בפועל הנפוץ – להיות – בשתי צורותיו  ESTAR ו   SER– זמני וקבוע..
4-00200,אני רוצה לדעת איך פאולו מרגיש היום,,QUERO SABER COME ESTÁ PAULO HOJE
4-00300,פאולו חולה היום,,PAULO ESTÁ DOENTE HOJE
4-00400,חולה,,DOENTE
4-00402,,,"ומה שונה כ""כ במשפט הדומה ?!?? – הרי רק השתמשנו בוורסיה אחרת של ""להיות""..."
4-00500,פאולו הוא אדם חולני,,PAULO É DOENTE
4-00501,,,ES - להבדיל מ  ESTÁ(בא מהפועל   SERולא מהפועל (ESTAR – פבלו חולני זה מצב קבוע של פבלו....
4-00502,,,"עוד דוגמא כמו הנ""ל.."
4-00600,שיכור,,BÊBADO
4-00700,פאולו שיכור היום,,PAULO ESTÁ BÊBADO HOJE
4-00701,,,"שמשמעותו שמצבו הרגעי, העכשווי, היום,  של פבלו הוא שהוא שיכור ולכן השתמשנו ב ESTAR , לעומת זאת אם נאמר :"
4-00800,פאולו הוא אלכוהוליסט,,PAULO É BÊBADO
4-00801,,,"אנחנו מתכוונים לכך שפבלו תמיד שיכור, שתיין, זה הופך לתכונה שלו ."
4-00802,,,"ע""מ להמחיש את זה יותר טוב, אשתמש בבדיחה – מספרים שחברת פרלמנט מהאופוזיציה אמרה  לצ'רצ'יל, באחד מהישיבות  – ""אתה שיכור !"" והוא ענה לה – ""ואת מכוערת"" נכון, אני שיכור היום, אבל את מכוערת תמיד"""
4-00803,,,"אני מקווה שההבל בין  ESTAR ל SER יותר ברור עתה...( ESTAR זה ""להיות"" זמני ו SER זה ""להיות"" קבוע)"
4-00804,,,דוגמה נוספת..
4-00900,לבוש,,VESTIDO
4-01000,לבוש טוב,,BEM VESTIDO
4-01100,פאולו לבוש טוב היום,,PAULO ESTÁ BEM VESTIDO HOJE
4-01101,,,"כי זה מצב חד פעמי שעונה לשאלה ""איך הוא היום"""
4-01102,,,אבל, אם נרצה להגיד שזאת תכונה של פבלו, נגיד..
4-01200,פאולו מתלבש תמיד יפה תמיד,,PAULO É SEMPRE BEM VESTIDO
4-01300,תמיד,,SEMPRE
4-01301,,,דוגמא נוספת :
4-01400,אני מורה,,SOU PROFESSOR
4-01401,,,כלומר, הוראה זה המקצוע שלי
4-01402,,,להבדיל מ...
4-01500,אני מורה כרגע (שחקן אולי),,ESTOU PROFESSOR
4-01501,,,"יכול להגיד שחקן תיאטרון שמשחק תפקיד של מורה, מורה מחליף וכו' - היו אני מורה...."
4-01802,,,עוד פעלים :
4-01900,לדבר,,FALAR
4-02000,לקחת,,LEVAR
4-02001,,,ראינו שהפועל הזה שימושי גם לשתות  למשקאות חריפים...
4-02100,להגיד,,DIZER
4-02200,לאכול,,COMER
4-02300,לקנות,,COMPRAR
4-02500,להכין,TO PREPARE,PREPARAR
4-02501,,,ובמשפט...
4-02600,אתה יכול להכין את ארוחת הערב עבורי,,VOCÊ PODE PREPARAR O JANTAR PARA MIM
4-02601,,,משפט ברבים..
4-02700,אתם יכולים לקבל את התנאי ?,CAN YOU ACCEPT THE CONDITION ?,PODEM ACEITAR A CONDIÇÃO ?
4-02701,,,ההטיות של הפועל PODER
4-02800,הטיות הווה לפועל PODER,,"POSSO, PODES, PODE, PODEMOS, …, PODEM"
4-02801,,,ולמילה מאד שימושית נוספת...
4-02802,,,באנגלית זה MUCH ובפורטוגזית..
4-02900,הרבה,,MUITO
4-02901,,,"ובמשפט ""מפוצץ"" במילים..."
4-03000,אני רוצה מאד לקבל את התנאי אבל אני מצטער אני לא יכול לקבל אותו בגלל זה לא מקובל עלי כך,,"QUERO MUITO ACEITAR A CONDIÇÃO, MAS DESCULPE , NÃO POSSO ACEITAR-LA PORQUE NÃO É ACEITÁVEL PARA MIM ASSIM"
4-03001,,,"המשפט הארוך הזה בעצם מורכב מכמה משפטים קצרים – שימו לב, ""פסיקים"" מהווים הפרדה בין משפט למשפט"
4-03002,אני רוצה מאד לקבל את התנאי,,QUERO MUITO ACEITAR A CONDIÇÃO
4-03003,,,מילה קישור..
4-03004,אבל,,MAS
4-03005,אני מצטער,,DESCULPE
4-03006,לא יכול לקבל אותה,,NÃO POSSO ACEITARLA
4-03007,,,שוב מילת קישור..
4-03008,בגלל ש.,,PORQUE
4-03009,זה לא מקובל עלי כך,,NÃO É ACEITÁVEL PARA MIM ASSIM
4-03010,,,"בוא ננסה להגדיר את המושגים – שמות עצם, פעלים, שמות תואר וכו' – חשוב מאד שנהיה מסונכרנים, כי למושגים האלה משמעות רבה."
4-03011,,,נפשט דברים  :
4-03100,,,"שם עצם   - כל מילה שלפניה אפשר לשים לפניה את ""ה"" הידיעה  ( THE   באנגלית או A/O  בפורטוגזית )"
4-03101,,,"דוגמאות  –   A CONDIÇÃO  , O HOMEM, A MULHER"
4-03102,,,"פועָל   - כל מילה שאפשר להקדים אותה בעברית  ב   ""ל""   כמו   ללכת ,  לבוא ,  לצייר ,  לקשקש  וכו' ( TO   באנגלית  ו  הסיומות  , AR ER  או  IR   בפורטוגזית )"
4-03103,,,"דוגמאות  :  DIZER, COMER, VOAR, AMAR, ESTAR, VIR"
4-03101,,,תואר הפועל   - כל מילה שאפשר לשים לפניה את אחד ההטיות של ESTAR או  SER ( להיות ) :
4-03300,,,"דוגמאות    ,ESTÁ B Ê BADO  אני מוכן ....  ESTOU PRONTO"
4-03301,,,תואר השם – מילה שמתארת את שם העצם ובאה אחריו  – DICCIONÁRIO INGL Ê S
4-03302,,,"התצורה הבסיסית של הפעלים (באנגלית זה נקרא...... THE INFINITIVE FORM מתבטאת בסיומת  "" R  ""  מה שמושך את ההדגשה להברה האחרונה – הסיומות הן AR   ER  ו  IR   כאשר הסיומת הנפוצה יותר היא ה   AR."
4-03400,לדבר,,FALAR
4-03500,להסתכל,,OLHAR
4-03600,לקנות,,COMPRAR
4-03700,להבין,,COMPREENDER
4-03800,לעשות,,FAZER
4-03900,להכין,,PREPARAR
4-04000,לקבל,,ACEITAR
4-04100,לבוא,,VIR
4-04102,,,ועכשיו נתעסק מעט עם מילות קישור...
4-04200,עם,,COM
4-04300,ללא,,SEM
4-04301,,,"מיוחד – רק ל""איתי"" ו ""אתך"" – היתר רגיל..."
4-04400,איתי,,COMIGO
4-04401,,,במקום     CON ME
4-04500,אתך,,COMTIGO
4-04501,,,"במקום   CON TE    בפנייה מנומסת , אפשר להגיד..."
4-04600,אתך (אדוני),,COM VOCÊ
4-04800,איתו,,COM ELE
4-04801,איתה,,COM ELA
4-04900,אתנו,,CONOSCO
4-04903,,,ונראה איך זה נראה במשפט...
4-05000,האם אתה יכול לדבר פורטוגזית איתי,,PODE FALAR PORTUGUÊS COMIGO
4-05001,,,"כמו שכבר ראינו, אם יש שניים או יותר פעלים רציפים במשפט, כמו ב PODE FALAR , הפועל השני והלאה מופיעים בתצורה הבסיסית שלהם – FALAR"
4-05002,,,ודוגמא נוספת..
4-05100,אתה יכול לבוא איתי,,PODE VIR CONMIGO
4-05101,,,נחזור לעתיד הקרוב..
4-05200,אתה הולך לראות את זה איתי הלילה,,VAIS A VERLO COMIGO ESTA NOITE
4-05201,,,או..
4-05300,אני הולך לראות את הסרט אתך הלילה,,VOU A VERLO COMTIGO ESTA NOITE
