מפתח,בעברית,דומה באנגלית(אם יש),טקסטים להקלטה
6-00100,,,"בשיעור הזה נתעסק במעט זמנני ""התפעל"" כמו למשל  - להשאיר (רגיל) להישאר (התפעל)"
6-00101,,,חזרה קצרה...
6-00200,יש לנו,,TEMOS
6-00201,,,"כזכור, לעשות   זה   FAZER"
6-00300,אנחנו עושים את זה,,LO FAZEMOS
6-00301,,,ניזכר בהטיות TO HAVE -  TER
6-00400,הטיות הווה של הפועל TER,,"TENHO , TENS , TEM , TEMOS , … , TÊM"
6-00404,,,נראה עוד דוגמאות...
6-00500,לבוא,,VIR
6-00501,,,גם שייך לקבוצת פעלי GO-GO
6-00600,הטיות הווה של הפועל VIR,,"VENHO , VENS , VEM , VIMOS , VINDES, VÊM"
6-00601,,,דוגמא נוספת...
6-00700,להתחיל,,COMEÇAR
6-00701,,,וההטיות בהווה...
6-00800,הטיות הווה של הפועל  COMEÇAR,,"COMEÇO , C0MEÇAS , C0MEÇA, C0MEÇASAMOS , … , C0MEÇAM"
6-00801,,,ובמשפט..
6-00900,באיזה שעה אתה מתחיל,,A QUE HORAS COMEÇAS ?
6-00901,,,או...
6-01000,באיזה שעה מתחיל הסרט,,A QUE HORAS C0MEÇA A FILME ?
6-01001,,,כש...
6-01100,סרט,,FILME
6-01101,,,או בגוף אחר..
6-01200,באיזה שעה אתם מתחילים ?,,A QUE HORAS C0MEÇAM ?
6-01300,ובאיזה שעה את מתחילה חברה,,E A QUE HORAS C0MEÇAS
6-01400,באיזה שעה אנחנו מתחילים ?,,A QUE HORAS COMENÇAMOS ?
6-01701,,,ועכשיו נתעסק בפועל ממש חשוב...
6-01800,לחשוב,,PENSAR
6-01900,הטיות הווה של הפועל PENSAR,,"PENSO , PENSAS , PENSA , PENSAMOS , …,  PENSAM"
6-02001,,,בנימוס נשאל בן שיח מכובד..
6-02002,מה אתה חושב ? – (אדון ),,QUE PENSA ?
6-02003,,,אבל כשנשאל חבר...
6-02100,מה אתה חושב ? – (חבר ),,QUE PENSAS ?
6-02101,,,או יותר בפירוט..
6-02200,אתה חושב על המצב ?,,QUE PENSAS DA SITUAÇÃO ?
6-02201,,,"אבל בגוף ראשון רבים, כמו שאמרנו..."
6-02300,אנחנו חושבים,,PENSAMOS
6-02301,,,"אני מזכיר – ה-E לא ""נשבר"" כי הדגש על  "" A ""."
6-02500,אני מתכנן לעזוב בקרוב,,PENSO SAIR EM BREVE
6-02600,מתי אתה מתכנן לעזוב ?,,QUANDO PENSAS SAIR ?
6-02601,,,ועכשיו נתעסק מעט בנושא ההבנות...
6-02700,להבין,,COMPREENDER
6-02701,,,או...
